algorithm,operation,size,reps,trim_pct,trim_wall_s_raw,std_wall_s_raw,trim_cpu_s_raw,std_cpu_s_raw,trim_wall_s_base,std_wall_s_base,trim_cpu_s_base,std_cpu_s_base,net_wall_s,std_net_wall_s,net_cpu_s,std_net_cpu_s,trim_mem_mb,std_mem_mb,failures_raw,failures_base
sphincsshake256ssimple,keygen,-,100,15,0.653092232,0.000805766,0.634886029,0.000364274,0.054429586,0.000858935,0.037756186,0.000375557,0.598662646,0.001177722,0.597129843,0.000523200,9.472994743,0.012681135,0,0
sphincsshake256ssimple,sign,256,100,15,7.160039662,0.005130091,7.138712814,0.005493810,0.200905169,0.000524577,0.182815829,0.000223894,6.959134493,0.005156842,6.955896985,0.005498370,9.721095314,0.037381717,0,0
sphincsshake256ssimple,sign,10000,100,15,7.160875790,0.005265732,7.140197343,0.005440928,0.201133098,0.000658505,0.182991857,0.000302166,6.959742692,0.005306747,6.957205486,0.005449312,9.719749486,0.041826389,0,0
sphincsshake256ssimple,sign,10000000,100,15,7.455947183,0.005091970,7.434877071,0.005503689,0.223594910,0.000763346,0.205306943,0.000309714,7.232352273,0.005148869,7.229570128,0.005512397,39.745770057,0.082772271,0,0
sphincsshake256ssimple,verify,256,100,15,0.216931614,0.000529850,0.198639743,0.000309785,0.202047176,0.000520388,0.184138314,0.000221721,0.014884438,0.000742661,0.014501429,0.000380955,9.523609600,0.017154652,0,0
sphincsshake256ssimple,verify,10000,100,15,0.216970545,0.000481228,0.198853886,0.000201675,0.202126600,0.000538389,0.184242729,0.000269118,0.014843945,0.000722110,0.014611157,0.000336299,9.521152000,0.014253077,0,0
sphincsshake256ssimple,verify,10000000,100,15,0.407177209,0.000757402,0.388564171,0.000626974,0.224437036,0.000630888,0.206447229,0.000347355,0.182740173,0.000985737,0.182116942,0.000716765,39.685207771,0.039878210,0,0
sphincsshake256ssimple,all,256,100,15,7.624652763,0.002309276,7.604279557,0.001464661,0.054478704,0.000704639,0.037831171,0.000250409,7.570174059,0.002414388,7.566448386,0.001485913,9.590784000,0.089210990,0,0
sphincsshake256ssimple,all,10000,100,15,7.619194334,0.005488660,7.598201157,0.005506998,0.054589263,0.000599223,0.037917743,0.000359781,7.564605071,0.005521273,7.560283414,0.005518738,9.599678171,0.091173518,0,0
sphincsshake256ssimple,all,10000000,100,15,8.086083169,0.004026994,8.065378986,0.004488650,0.076771378,0.000642387,0.060186000,0.000364452,8.009311791,0.004077909,8.005192986,0.004503421,39.749514971,0.009655744,0,0
sphincsshake256fsimple,keygen,-,100,15,0.107497187,0.000716048,0.089393243,0.000344691,0.054254424,0.000563343,0.037768300,0.000262525,0.053242763,0.000911087,0.051624943,0.000433280,9.466616686,0.021200944,0,0
sphincsshake256fsimple,sign,256,100,15,0.946842956,0.000672443,0.928132243,0.000383964,0.201281672,0.000594734,0.183068214,0.000351214,0.745561284,0.000897713,0.745064029,0.000520365,9.747719314,0.011591382,0,0
sphincsshake256fsimple,sign,10000,100,15,0.946997674,0.000665301,0.928265343,0.000434371,0.201093361,0.000612349,0.183112343,0.000345537,0.745904313,0.000904211,0.745153000,0.000555044,9.744266971,0.008983945,0,0
sphincsshake256fsimple,sign,10000000,100,15,1.243528014,0.000746338,1.224666086,0.000545297,0.223317660,0.000650252,0.205246843,0.000357493,1.020210354,0.000989873,1.019419243,0.000652035,39.656769829,0.049418268,0,0
sphincsshake256fsimple,verify,256,100,15,0.228207215,0.000565451,0.209839000,0.000319247,0.203228913,0.000589623,0.185295586,0.000306421,0.024978302,0.000816939,0.024543414,0.000442507,9.795349943,0.023500111,0,0
sphincsshake256fsimple,verify,10000,100,15,0.227724487,0.000584793,0.209487686,0.000223300,0.203154209,0.000479762,0.185225214,0.000253553,0.024570278,0.000756409,0.024262472,0.000337864,9.772529371,0.062032435,0,0
sphincsshake256fsimple,verify,10000000,100,15,0.417956688,0.000774440,0.399350271,0.000709451,0.225403220,0.000502557,0.207460200,0.000280423,0.192553468,0.000923212,0.191890071,0.000762862,39.718268343,0.043619944,0,0
sphincsshake256fsimple,all,256,100,15,0.871321230,0.000723579,0.852862043,0.000350454,0.054758809,0.000791466,0.037942486,0.000338392,0.816562421,0.001072374,0.814919557,0.000487162,9.567553829,0.085310572,0,0
sphincsshake256fsimple,all,10000,100,15,0.871192426,0.000949165,0.852805314,0.000493771,0.054496428,0.000633658,0.037903986,0.000241887,0.816695998,0.001141243,0.814901328,0.000549836,9.677911771,0.052194963,0,0
sphincsshake256fsimple,all,10000000,100,15,1.332932211,0.001062192,1.314428314,0.000968540,0.076743190,0.000690597,0.060190471,0.000340276,1.256189021,0.001266955,1.254237843,0.001026576,39.754371657,0.010573199,0,0
sphincsshake192ssimple,keygen,-,100,15,0.946385477,0.000818295,0.927941900,0.000380017,0.054382191,0.000672764,0.037801443,0.000305153,0.892003286,0.001059348,0.890140457,0.000487372,9.465270857,0.028078906,0,0
sphincsshake192ssimple,sign,256,100,15,8.091607689,0.012131094,8.069855643,0.013073290,0.202053894,0.000558848,0.184017800,0.000330614,7.889553795,0.012143960,7.885837843,0.013077470,9.717584457,0.042220951,0,0
sphincsshake192ssimple,sign,10000,100,15,8.090518021,0.011913037,8.068895371,0.012501711,0.202022003,0.000533503,0.184008371,0.000290915,7.888496018,0.011924977,7.884887000,0.012505095,9.710445714,0.047127315,0,0
sphincsshake192ssimple,sign,10000000,100,15,8.388028636,0.012304522,8.367196100,0.012987961,0.224317026,0.000695909,0.206195243,0.000384308,8.163711610,0.012324186,8.161000857,0.012993646,39.735471543,0.086610216,0,0
sphincsshake192ssimple,verify,256,100,15,0.213609328,0.000629057,0.195513943,0.000320178,0.202531061,0.000578968,0.184593586,0.000265970,0.011078267,0.000854937,0.010920357,0.000416238,9.511731200,0.030023299,0,0
sphincsshake192ssimple,verify,10000,100,15,0.213889318,0.000479912,0.195659314,0.000325307,0.202688483,0.000551676,0.184726543,0.000324607,0.011200835,0.000731206,0.010932771,0.000459559,9.499677257,0.004713469,0,0
sphincsshake192ssimple,verify,10000000,100,15,0.404562685,0.000827481,0.386042700,0.000682585,0.225034709,0.000582158,0.206962000,0.000322526,0.179527976,0.001011747,0.179080700,0.000754947,39.668823771,0.044473022,0,0
sphincsshake192ssimple,all,256,100,15,8.839432878,0.013418437,8.818712029,0.013781882,0.054684061,0.000567263,0.038053886,0.000344891,8.784748817,0.013430422,8.780658143,0.013786197,9.580134400,0.087819377,0,0
sphincsshake192ssimple,all,10000,100,15,8.839384106,0.012683165,8.818392829,0.012979001,0.054702397,0.000728924,0.037926014,0.000320289,8.784681709,0.012704094,8.780466815,0.012982952,9.605939200,0.084282971,0,0
sphincsshake192ssimple,all,10000000,100,15,9.301925222,0.014404205,9.280901614,0.014348959,0.077287697,0.000814626,0.060403300,0.000385197,9.224637525,0.014427222,9.220498314,0.014354128,39.716161829,0.042307452,0,0
sphincsshake192fsimple,keygen,-,100,15,0.084679011,0.000634152,0.066581143,0.000272489,0.054191938,0.000533493,0.037700229,0.000234681,0.030487073,0.000828712,0.028880914,0.000359618,9.474399086,0.007170937,0,0
sphincsshake192fsimple,sign,256,100,15,0.569957460,0.000622295,0.551166829,0.000252566,0.202134723,0.000581207,0.184065400,0.000328283,0.367822737,0.000851500,0.367101429,0.000414197,9.719515429,0.040580229,0,0
sphincsshake192fsimple,sign,10000,100,15,0.569414828,0.000736153,0.550671700,0.000619020,0.201871116,0.000468659,0.183935743,0.000240693,0.367543712,0.000872675,0.366735957,0.000664168,9.713137371,0.051420573,0,0
sphincsshake192fsimple,sign,10000000,100,15,0.865836381,0.000823400,0.846754786,0.000652422,0.224402039,0.000629943,0.206316843,0.000355683,0.641434342,0.001036733,0.640437943,0.000743078,39.640970971,0.039020241,0,0
sphincsshake192fsimple,verify,256,100,15,0.227148133,0.000608896,0.208827800,0.000298612,0.203632875,0.000609234,0.185518100,0.000318701,0.023515258,0.000861348,0.023309700,0.000436737,9.535956114,0.027530226,0,0
sphincsshake192fsimple,verify,10000,100,15,0.227433536,0.000574167,0.209215229,0.000279342,0.203541897,0.000650657,0.185491114,0.000300683,0.023891639,0.000867769,0.023724115,0.000410417,9.528758857,0.011543938,0,0
