algorithm,value,std
sphincsshake256ssimple,38.073429,0.30740599999999996
sphincsshake256fsimple,38.001886,0.234743
sphincsshake192ssimple,38.062286,0.32012799999999997
sphincsshake192fsimple,37.887886,0.14180299999999998
sphincsshake128ssimple,38.016686,0.288843
sphincsshake128fsimple,37.9998,0.20802400000000001
sphincssha2256ssimple,38.160914,0.357528
sphincssha2256fsimple,38.033485999999996,0.21619
sphincssha2192ssimple,38.122343,0.305902
sphincssha2192fsimple,38.2034,0.33526999999999996
sphincssha2128ssimple,38.254599999999996,0.418707
sphincssha2128fsimple,38.083629,0.259713
mldsa87,38.114456999999994,0.304661
mldsa65,38.140543,0.254659
mldsa44,38.235571,0.304573
falcon512,38.064286,0.23631
falcon1024,38.351471,0.38726299999999997
RSA,38.233686000000006,0.34808300000000003
EC,38.130486,0.239333
