algorithm,value,std
sphincsshake256ssimple,410.288229,0.616548
sphincsshake256fsimple,412.474114,0.644767
sphincsshake192ssimple,413.313657,0.6273799999999999
sphincsshake192fsimple,414.476043,0.541231
sphincsshake128ssimple,413.503757,0.725094
sphincsshake128fsimple,413.56682900000004,0.64311
sphincssha2256ssimple,414.084629,0.6188549999999999
sphincssha2256fsimple,415.397986,0.6418459999999999
sphincssha2192ssimple,415.182257,0.67084
sphincssha2192fsimple,416.233943,0.726727
sphincssha2128ssimple,415.371129,0.662231
sphincssha2128fsimple,415.678771,0.816146
mldsa87,416.170429,0.731237
mldsa65,416.52135699999997,0.577793
mldsa44,417.22864300000003,0.6182139999999999
falcon512,415.755,0.861299
falcon1024,416.904243,0.6605810000000001
RSA,414.16871399999997,0.7042259999999999
EC,414.20598600000005,0.568738
