algorithm,value,std
sphincsshake256ssimple,413.7615,0.692589
sphincsshake256fsimple,414.922829,0.7002160000000001
sphincsshake192ssimple,414.179843,0.652918
sphincsshake192fsimple,415.513129,0.537591
sphincsshake128ssimple,414.42994300000004,0.771328
sphincsshake128fsimple,414.738814,0.610248
sphincssha2256ssimple,415.41830000000004,0.49403900000000006
sphincssha2256fsimple,416.54001400000004,0.5623779999999999
sphincssha2192ssimple,416.049271,0.6048950000000001
sphincssha2192fsimple,417.06149999999997,0.49417099999999997
sphincssha2128ssimple,415.48081399999995,0.648486
sphincssha2128fsimple,416.63462899999996,0.599787
mldsa87,416.2802,0.6284599999999999
mldsa65,416.46254300000004,0.5569350000000001
mldsa44,417.23911400000003,0.565346
falcon512,416.524643,0.663431
falcon1024,417.435571,0.7144739999999999
RSA,414.377343,0.7226440000000001
EC,414.136257,0.680368
