algorithm,value,std
sphincsshake256ssimple,11948.781686,5.017086
sphincsshake256fsimple,5201.117671000001,3.5644560000000003
sphincsshake192ssimple,13168.623271999999,13.238677000000001
sphincsshake192fsimple,4805.007028,3.9149290000000003
sphincsshake128ssimple,9534.381086,8.271078
sphincsshake128fsimple,4659.3440279999995,3.06435
sphincssha2256ssimple,14352.4692,3.866112
sphincssha2256fsimple,4486.443371,3.0614459999999997
sphincssha2192ssimple,16016.411000000002,5.5393170000000005
sphincssha2192fsimple,3921.057657,3.540578
sphincssha2128ssimple,11954.135614,6.117206
sphincssha2128fsimple,4850.492914,2.9854410000000002
mldsa87,3359.4663429999996,3.4553230000000004
mldsa65,3360.345786,3.272646
mldsa44,3358.163343,3.255624
falcon512,3392.032229,5.182463
falcon1024,3458.042857,12.931598000000001
RSA,4434.830814,737.359829
EC,2201.366228,0.8776320000000001
