algorithm,value,std
sphincsshake256ssimple,6960.253086,5.122756
sphincsshake256fsimple,747.823272,0.665139
sphincsshake192ssimple,7887.535543,14.027505
sphincsshake192fsimple,369.549771,0.6457029999999999
sphincsshake128ssimple,4547.921029,0.930739
sphincsshake128fsimple,233.313357,0.5757899999999999
sphincssha2256ssimple,10167.160657,3.440457
sphincssha2256fsimple,1059.4802430000002,0.701521
sphincssha2192ssimple,11423.638957,3.669895
sphincssha2192fsimple,522.063871,0.548161
sphincssha2128ssimple,6603.1040570000005,2.8206770000000003
sphincssha2128fsimple,327.90180000000004,0.555624
mldsa87,17.279515,1.796894
mldsa65,16.340257,1.329135
mldsa44,15.095486,0.9879260000000001
falcon512,14.0809,0.510408
falcon1024,15.345657000000001,0.620984
RSA,21.308042999999998,0.461176
EC,10.768056999999999,0.497632
