algorithm,value,std
sphincsshake256ssimple,1676.827514,1.838034
sphincsshake256fsimple,1685.871471,2.0863650000000002
sphincsshake192ssimple,1673.9288000000001,2.015913
sphincsshake192fsimple,1686.846885,1.909851
sphincsshake128ssimple,1671.732886,2.07791
sphincsshake128fsimple,1683.208715,1.9909799999999997
sphincssha2256ssimple,1337.3291000000002,2.375791
sphincssha2256fsimple,1352.857415,1.6799490000000001
sphincssha2192ssimple,1336.238372,1.926757
sphincssha2192fsimple,1353.406771,2.210992
sphincssha2128ssimple,1711.2343720000001,1.818517
sphincssha2128fsimple,1723.4367280000001,1.804819
mldsa87,1670.748329,2.0468159999999997
mldsa65,1670.920657,1.690637
mldsa44,1670.853357,1.9446890000000001
falcon512,1672.709728,1.9596959999999999
falcon1024,1670.3882290000001,2.015117
RSA,1094.009228,0.967792
EC,1094.846543,0.9479770000000001
