algorithm,value,std
sphincsshake256ssimple,7143.335557,5.116172000000001
sphincsshake256fsimple,931.324486,0.542956
sphincsshake192ssimple,8071.925843000001,14.022967000000001
sphincsshake192fsimple,553.846357,0.5727040000000001
sphincsshake128ssimple,4732.290086,0.85405
sphincsshake128fsimple,417.705286,0.439443
sphincssha2256ssimple,10350.818200000002,3.4271800000000003
sphincssha2256fsimple,1243.1303,0.633543
sphincssha2192ssimple,11608.236099999998,3.649376
sphincssha2192fsimple,706.562014,0.458498
sphincssha2128ssimple,6787.6205709999995,2.80683
sphincssha2128fsimple,512.537129,0.46512000000000003
mldsa87,202.344186,1.744989
mldsa65,200.9675,1.285843
mldsa44,200.335529,0.9169010000000001
falcon512,198.32644299999998,0.345706
falcon1024,200.809143,0.450986
RSA,203.434414,0.324214
EC,193.407571,0.36734
