algorithm,value,std
sphincsshake256ssimple,2090.5890139999997,1.702554
sphincsshake256fsimple,2100.7943,1.9653539999999998
sphincsshake192ssimple,2088.108643,1.9072500000000001
sphincsshake192fsimple,2102.360014,1.832628
sphincsshake128ssimple,2086.162829,1.929446
sphincsshake128fsimple,2097.947529,1.895151
sphincssha2256ssimple,1752.7474,2.323856
sphincssha2256fsimple,1769.397429,1.583022
sphincssha2192ssimple,1752.2876430000001,1.829343
sphincssha2192fsimple,1770.468271,2.155059
sphincssha2128ssimple,2126.7151860000004,1.698961
sphincssha2128fsimple,2140.0713570000003,1.702242
mldsa87,2087.0285289999997,1.9479460000000002
mldsa65,2087.3832,1.5962699999999999
mldsa44,2088.092471,1.8606989999999999
falcon512,2089.234371,1.843982
falcon1024,2087.8237999999997,1.884204
RSA,1508.386571,0.643745
EC,1508.9828,0.660121
