algorithm,value,std
sphincsshake256ssimple,8.424769829,0.012493485
sphincsshake256fsimple,8.418742857,0.024487149
sphincsshake192ssimple,8.42752,0.003739119
sphincsshake192fsimple,8.412189257,0.037517367
sphincsshake128ssimple,8.426876343,0.006034619
sphincsshake128fsimple,8.419210971,0.025534048
sphincssha2256ssimple,8.4209664,0.018544118
sphincssha2256fsimple,8.423950629,0.012399715
sphincssha2192ssimple,8.427461486,0.005252983
sphincssha2192fsimple,8.424945371,0.010006937
sphincssha2128ssimple,8.4115456,0.035676763
sphincssha2128fsimple,8.425120914,0.009401109
mldsa87,8.421434514,0.014468829
mldsa65,8.424477257,0.010423815
mldsa44,8.426057143,0.007679894
falcon512,8.423189943,0.016139317
falcon1024,8.422429257,0.014522385
RSA,8.408444343,0.03668638
EC,8.422253714,0.012950678
