algorithm,value,std
sphincsshake256ssimple,9.4961664,0.032096257
sphincsshake256fsimple,9.4932992,0.031173544
sphincsshake192ssimple,9.497102629,0.037560996
sphincsshake192fsimple,9.483351771,0.014742325
sphincsshake128ssimple,9.489086171,0.02257217
sphincsshake128fsimple,9.483410286,0.013966897
sphincssha2256ssimple,9.495171657,0.03414617
sphincssha2256fsimple,9.495522743,0.036771118
sphincssha2192ssimple,9.484053943,0.015957507
sphincssha2192fsimple,9.497629257,0.033591947
sphincssha2128ssimple,9.484580571,0.021135225
sphincssha2128fsimple,9.491309714,0.028436919
mldsa87,9.487213714,0.00169283
mldsa65,9.483644343,0.003615856
mldsa44,9.480777143,0.0019768
falcon512,9.4789632,0.00165023
falcon1024,9.482122971,0.001968876
RSA,9.213600914,0.007843021
EC,9.218223543,0.009347752
