algorithm,value,std
sphincsshake256ssimple,9.518986971,0.008511417
sphincsshake256fsimple,9.551228343,0.017553763
sphincsshake192ssimple,9.4990336,0.004527403
sphincsshake192fsimple,9.524311771,0.001834629
sphincsshake128ssimple,9.491192686,0.011120325
sphincsshake128fsimple,9.500379429,0.00427444
sphincssha2256ssimple,9.516412343,0.002192575
sphincssha2256fsimple,9.550116571,0.014686969
sphincssha2192ssimple,9.499735771,0.003189672
sphincssha2192fsimple,9.524721371,0.002432883
sphincssha2128ssimple,9.487623314,0.002154218
sphincssha2128fsimple,9.500672,0.006188362
mldsa87,9.399851886,0.109655924
mldsa65,9.333204114,0.106462416
mldsa44,9.241687771,0.037740206
falcon512,9.2225536,0.014684131
falcon1024,9.482708114,0.004157446
RSA,9.199440457,0.036929476
EC,9.210616686,0.011825015
