algorithm,value,std
sphincsshake256ssimple,201.7615872,0.070290898
sphincsshake256fsimple,201.725659428,0.044154698
sphincsshake192ssimple,201.719339886,0.063617003
sphincsshake192fsimple,201.736660114,0.067062955
sphincsshake128ssimple,201.728175543,0.066857092
sphincsshake128fsimple,201.722207086,0.077253256
sphincssha2256ssimple,201.8004992,0.064133532
sphincssha2256fsimple,201.794940342,0.06591572
sphincssha2192ssimple,201.802898285,0.066055272
sphincssha2192fsimple,201.817234285,0.063976489
sphincssha2128ssimple,201.792073143,0.045784925
sphincssha2128fsimple,201.824724114,0.078136142
mldsa87,201.6395264,0.058438719
mldsa65,201.607870171,0.056595052
mldsa44,201.537594514,0.055795109
falcon512,201.7574912,0.044954971
falcon1024,201.937656686,0.067409994
RSA,0.793336685,0.05554209
EC,0.857175772,0.069301355
