algorithm,value,std
sphincsshake256ssimple,1.305980342,0.011469073
sphincsshake256fsimple,1.294979657,0.028859108
sphincsshake192ssimple,1.295681829,0.030312818
sphincsshake192fsimple,1.281755429,0.043437524
sphincsshake128ssimple,1.296969143,0.023963218
sphincsshake128fsimple,1.293224229,0.026866704
sphincssha2256ssimple,1.347115886,0.057239355
sphincssha2256fsimple,1.2996608,0.027763976
sphincssha2192ssimple,1.329854172,0.052203514
sphincssha2192fsimple,1.301006628,0.022198128
sphincssha2128ssimple,1.341557028,0.055001403
sphincssha2128fsimple,1.312533943,0.008047622
mldsa87,1.055714743,0.025625369
mldsa65,1.049044115,0.023564984
mldsa44,1.044655543,0.015411826
falcon512,1.300655543,0.024651359
falcon1024,1.398842514,0.103579637
RSA,0.820194743,0.068905259
EC,1.036522057,0.018715559
