algorithm,value,std
sphincsshake256ssimple,0.537278171,0.037837044
sphincsshake256fsimple,0.531017143,0.041848141
sphincsshake192ssimple,0.536751542,0.042686057
sphincsshake192fsimple,0.528149943,0.022411014
sphincsshake128ssimple,0.542193372,0.031133014
sphincsshake128fsimple,0.531192685,0.025404143
sphincssha2256ssimple,0.581339429,0.058153996
sphincssha2256fsimple,0.563551086,0.065744946
sphincssha2192ssimple,0.583738514,0.052296884
sphincssha2192fsimple,0.5308416,0.050452979
sphincssha2128ssimple,0.583036343,0.05409433
sphincssha2128fsimple,0.543071086,0.051502414
mldsa87,0.507845486,0.028493295
mldsa65,0.270394514,0.01534044
mldsa44,0.267117714,0.009467566
falcon512,0.530139429,0.0133004
falcon1024,0.786724572,0.00264691
RSA,0.0053248,0.01077254
EC,0.004096,0.020371333
