algorithm,value,std
sphincsshake256ssimple,0.304215772,0.092810904
sphincsshake256fsimple,0.263314285,0.022107341
sphincsshake192ssimple,0.297720686,0.082873575
sphincsshake192fsimple,0.307258514,0.09673493
sphincsshake128ssimple,0.287071086,0.066382646
sphincsshake128fsimple,0.299300571,0.102773252
sphincssha2256ssimple,0.501408914,0.037788403
sphincssha2256fsimple,0.279171657,0.038578386
sphincssha2192ssimple,0.5148672,0.020772601
sphincssha2192fsimple,0.495557485,0.049310363
sphincssha2128ssimple,0.516447086,0.015522206
sphincssha2128fsimple,0.5029888,0.036932815
mldsa87,0.262436571,0.00939538
mldsa65,0.261617371,0.008070035
mldsa44,0.270160457,0.02037926
falcon512,0.522415543,0.011520294
falcon1024,0.519957943,0.012694549
RSA,0.003335315,0.008943061
EC,0.003803428,0.014040937
