algorithm,value,std
sphincsshake256ssimple,310.277383314,0.010542274
sphincsshake256fsimple,310.274750171,0.019867984
sphincsshake192ssimple,310.255967086,0.031332202
sphincsshake192fsimple,310.269717943,0.033126922
sphincsshake128ssimple,310.261408914,0.030095234
sphincsshake128fsimple,310.2507008,0.048140344
sphincssha2256ssimple,310.336248686,0.029795208
sphincssha2256fsimple,310.327178971,0.035943752
sphincssha2192ssimple,310.338823314,0.030087558
sphincssha2192fsimple,310.359712914,0.044217079
sphincssha2128ssimple,310.339232914,0.026022373
sphincssha2128fsimple,310.336190171,0.032505167
mldsa87,310.176446171,0.025780443
mldsa65,310.1483008,0.019307893
mldsa44,310.0880896,0.045005515
falcon512,310.3072256,0.022740433
falcon1024,310.478613943,0.043825707
RSA,109.335230171,0.018410174
EC,109.398367086,0.047683058
