algorithm,value,std
sphincsshake256ssimple,10.033444571,0.020036771
sphincsshake256fsimple,10.024316343,0.027919117
sphincsshake192ssimple,10.033854171,0.020279819
sphincsshake192fsimple,10.011501714,0.016879497
sphincsshake128ssimple,10.031279543,0.021442055
sphincsshake128fsimple,10.014602971,0.021220186
sphincssha2256ssimple,10.076511086,0.047073627
sphincssha2256fsimple,10.059073829,0.054500301
sphincssha2192ssimple,10.067792457,0.049802832
sphincssha2192fsimple,10.028470857,0.037644179
sphincssha2128ssimple,10.067616914,0.049794566
sphincssha2128fsimple,10.0343808,0.042939962
mldsa87,9.9950592,0.028442964
mldsa65,9.754038857,0.014908209
mldsa44,9.747894857,0.009258891
falcon512,10.009102629,0.013197628
falcon1024,10.268847543,0.001769085
RSA,9.218925714,0.007384757
EC,9.222319543,0.018100021
