algorithm,value,std
sphincsshake256ssimple,54.451181,0.633595
sphincsshake256fsimple,54.792186,1.0998539999999999
sphincsshake192ssimple,54.486163999999995,0.644495
sphincsshake192fsimple,54.23651,0.519806
sphincsshake128ssimple,54.499714,0.622814
sphincsshake128fsimple,54.610579,0.7397630000000001
sphincssha2256ssimple,54.837635000000006,0.799082
sphincssha2256fsimple,54.586481,0.688009
sphincssha2192ssimple,54.647169000000005,0.732563
sphincssha2192fsimple,54.764588,0.600079
sphincssha2128ssimple,54.72462,0.6577959999999999
sphincssha2128fsimple,54.575421,0.610529
mldsa87,54.611039,0.645184
mldsa65,54.645500999999996,0.6867260000000001
mldsa44,54.663650000000004,0.577593
falcon512,54.571008,0.5916520000000001
falcon1024,54.852567,0.651474
RSA,54.645629,0.637093
EC,54.656315,0.542095
