algorithm,value,std
sphincsshake256ssimple,202.269224,0.591548
sphincsshake256fsimple,203.543359,0.6064269999999999
sphincsshake192ssimple,203.130654,0.697391
sphincsshake192fsimple,203.76777800000002,0.6904549999999999
sphincsshake128ssimple,202.759583,0.646849
sphincsshake128fsimple,203.27036900000002,0.692565
sphincssha2256ssimple,202.728638,0.638924
sphincssha2256fsimple,203.920243,0.555632
sphincssha2192ssimple,203.485117,0.804109
sphincssha2192fsimple,204.09423700000002,0.6387660000000001
sphincssha2128ssimple,202.943295,0.69334
sphincssha2128fsimple,203.589678,0.659319
mldsa87,202.739958,0.6730879999999999
mldsa65,202.81691800000002,0.544
mldsa44,203.352274,0.587775
falcon512,202.18246100000002,0.6353310000000001
falcon1024,203.285774,0.603681
RSA,199.700631,0.689828
EC,200.030261,0.5298619999999999
