algorithm,value,std
sphincsshake256ssimple,11955.478273,5.251129000000001
sphincsshake256fsimple,5206.561334,4.31287
sphincsshake192ssimple,13175.496111999999,12.868177999999999
sphincsshake192fsimple,4809.377367,4.435093999999999
sphincsshake128ssimple,9540.651026000001,8.542574
sphincsshake128fsimple,4664.857654,3.2558629999999997
sphincssha2256ssimple,14359.657093,4.221273
sphincssha2256fsimple,4491.985328,3.61025
sphincssha2192ssimple,16024.244168,5.833082
sphincssha2192fsimple,3925.6811420000004,3.733991
sphincssha2128ssimple,11961.781944,6.01856
sphincssha2128fsimple,4856.199073,2.864102
mldsa87,3363.739089,3.749326
mldsa65,3364.0543589999997,3.4857769999999997
mldsa44,3362.968102,3.436329
falcon512,3396.432178,5.058757
falcon1024,3462.750936,13.248009999999999
RSA,4439.03757,737.5672020000001
EC,2203.952789,1.23685
