algorithm,value,std
sphincsshake256ssimple,9683.097535,5.877066999999999
sphincsshake256fsimple,3471.067692,2.5357969999999996
sphincsshake192ssimple,10614.036227999999,12.857621
sphincsshake192fsimple,3092.398534,2.341106
sphincsshake128ssimple,7272.111834,3.468554
sphincsshake128fsimple,2956.622779,2.767751
sphincssha2256ssimple,12195.050199000001,4.389328
sphincssha2256fsimple,3085.04822,2.585888
sphincssha2192ssimple,13453.678067,5.268517
sphincssha2192fsimple,2546.6925100000003,2.3286629999999997
sphincssha2128ssimple,9389.442431000001,4.040485
sphincssha2128fsimple,3112.8422589999996,2.767608
mldsa87,1681.322853,2.483486
mldsa65,1681.783077,3.070785
mldsa44,1679.696097,2.325012
falcon512,1680.32348,2.18361
falcon1024,1681.05509,2.017207
RSA,1111.756178,1.4898179999999999
EC,1101.497705,1.1383999999999999
