algorithm,value,std
sphincsshake256ssimple,1678.7261469999999,2.278112
sphincsshake256fsimple,1687.21592,2.3291589999999998
sphincsshake192ssimple,1675.537954,2.203304
sphincsshake192fsimple,1687.958195,2.05809
sphincsshake128ssimple,1673.310135,2.299986
sphincsshake128fsimple,1684.19829,2.152728
sphincssha2256ssimple,1338.975686,2.458253
sphincssha2256fsimple,1354.158216,1.883433
sphincssha2192ssimple,1337.607867,1.885601
sphincssha2192fsimple,1354.884992,2.196077
sphincssha2128ssimple,1713.4627659999999,2.107448
sphincssha2128fsimple,1725.57401,2.029683
mldsa87,1672.3165609999999,2.0858209999999997
mldsa65,1672.511409,1.946409
mldsa44,1672.536301,2.165471
falcon512,1675.074531,2.655539
falcon1024,1671.9885459999998,2.298682
RSA,1094.7707110000001,1.4246969999999999
EC,1095.868429,1.308167
