algorithm,value,std
sphincsshake256ssimple,7625.499747,1.810297
sphincsshake256fsimple,871.193181,0.9890739999999999
sphincsshake192ssimple,8839.774161,13.357908
sphincsshake192fsimple,469.518412,0.936331
sphincsshake128ssimple,5216.656386000001,1.461594
sphincsshake128fsimple,322.924418,0.782487
sphincssha2256ssimple,11084.860191,15.243693
sphincssha2256fsimple,1207.006253,2.171181
sphincssha2192ssimple,12742.150449,5.686603
sphincssha2192fsimple,636.819145,0.8835470000000001
sphincssha2128ssimple,7534.516723000001,5.465758
sphincssha2128fsimple,426.878826,0.739747
mldsa87,88.13064700000001,2.160951
mldsa65,85.428353,1.612771
mldsa44,83.089607,1.078359
falcon512,118.953976,5.994889
falcon1024,184.121806,10.949293
RSA,2060.014674,648.730159
EC,75.442745,0.703543
