algorithm,value,std
sphincsshake256ssimple,7160.53107,5.179338
sphincsshake256fsimple,946.8438890000001,0.7536619999999999
sphincsshake192ssimple,8092.950081,11.267724
sphincsshake192fsimple,570.162729,0.7087979999999999
sphincsshake128ssimple,4738.479824,8.64086
sphincsshake128fsimple,433.751022,0.933366
sphincssha2256ssimple,10371.831967,4.998039
sphincssha2256fsimple,1259.911892,0.958001
sphincssha2192ssimple,11628.727619,4.837331000000001
sphincssha2192fsimple,722.617563,0.633219
sphincssha2128ssimple,6804.843688,2.936516
sphincssha2128fsimple,528.515402,0.96562
mldsa87,219.087255,1.6685649999999999
mldsa65,217.867853,2.077582
mldsa44,217.32958599999998,1.697314
falcon512,214.893481,0.673227
falcon1024,217.754054,0.900214
RSA,219.79236899999998,0.90461
EC,209.258569,0.5972259999999999
