algorithm,value,std
sphincsshake256ssimple,216.29104199999998,0.606646
sphincsshake256fsimple,227.961308,0.518261
sphincsshake192ssimple,213.771452,0.5532239999999999
sphincsshake192fsimple,227.067931,0.493533
sphincsshake128ssimple,211.55061999999998,0.732377
sphincsshake128fsimple,220.653696,0.628691
sphincssha2256ssimple,227.44276,0.555773
sphincssha2256fsimple,243.15510600000002,0.697366
sphincssha2192ssimple,223.459652,0.527089
sphincssha2192fsimple,242.942545,0.6806450000000001
sphincssha2128ssimple,219.866743,0.6914939999999999
sphincssha2128fsimple,232.610289,0.641779
mldsa87,209.138102,0.5591809999999999
mldsa65,208.333188,0.5849489999999999
mldsa44,208.691795,0.682055
falcon512,207.779096,0.748333
falcon1024,209.055321,0.594407
RSA,202.992578,0.724634
EC,203.797277,0.669929
