algorithm,value,std
sphincsshake256ssimple,5.960643,0.036604
sphincsshake256fsimple,5.9598569999999995,0.036757
sphincsshake192ssimple,5.9770140000000005,0.032622
sphincsshake192fsimple,5.964157,0.031559000000000004
sphincsshake128ssimple,5.978314,0.035185
sphincsshake128fsimple,5.9726,0.040746
sphincssha2256ssimple,5.971329,0.036839
sphincssha2256fsimple,5.967943,0.040571
sphincssha2192ssimple,5.962757,0.038179000000000005
sphincssha2192fsimple,5.961643,0.038174
sphincssha2128ssimple,5.963185999999999,0.033179
sphincssha2128fsimple,5.978014,0.036871
mldsa87,5.947443,0.037334
mldsa65,5.950914,0.045833
mldsa44,5.988271,0.036225
falcon512,5.989886,0.033719
falcon1024,5.978957,0.036243
RSA,5.9615290000000005,0.038943000000000005
EC,5.9783290000000004,0.029663000000000002
