algorithm,value,std
sphincsshake256ssimple,5.909286,0.026854
sphincsshake256fsimple,5.904885999999999,0.030883
sphincsshake192ssimple,5.915614,0.032095
sphincsshake192fsimple,5.925171,0.028540000000000003
sphincsshake128ssimple,5.927486,0.035944
sphincsshake128fsimple,5.9282140000000005,0.031056000000000004
sphincssha2256ssimple,5.9191139999999995,0.034599
sphincssha2256fsimple,5.905371000000001,0.031741
sphincssha2192ssimple,5.922143,0.040482000000000004
sphincssha2192fsimple,5.910614,0.036288999999999995
sphincssha2128ssimple,5.916399999999999,0.038342
sphincssha2128fsimple,5.918129,0.034536000000000004
mldsa87,5.911213999999999,0.033076
mldsa65,5.910629,0.039522
mldsa44,5.9446,0.029302
falcon512,5.925271,0.031377999999999996
falcon1024,5.943071000000001,0.034819
RSA,5.9344,0.029901
EC,5.926286,0.037857
