algorithm,value,std
sphincsshake256ssimple,75.32794299999999,0.14228400000000002
sphincsshake256fsimple,75.30827099999999,0.173168
sphincsshake192ssimple,75.23561400000001,0.161047
sphincsshake192fsimple,75.286243,0.149952
sphincsshake128ssimple,75.352857,0.198457
sphincsshake128fsimple,75.324971,0.156406
sphincssha2256ssimple,75.36462900000001,0.156612
sphincssha2256fsimple,75.315857,0.162664
sphincssha2192ssimple,75.2433,0.148424
sphincssha2192fsimple,75.297857,0.145463
sphincssha2128ssimple,75.28051400000001,0.152163
sphincssha2128fsimple,75.353957,0.180396
mldsa87,75.408786,0.17133400000000001
mldsa65,75.478929,0.173426
mldsa44,75.727957,0.163322
falcon512,75.645214,0.158208
falcon1024,75.668729,0.205743
RSA,75.32454299999999,0.207608
EC,75.389129,0.180704
