algorithm,value,std
sphincsshake256ssimple,2083.4205429999997,0.571106
sphincsshake256fsimple,1443.778143,0.41225700000000004
sphincsshake192ssimple,2215.427557,0.949634
sphincsshake192fsimple,1405.7668999999999,0.425452
sphincsshake128ssimple,1867.587871,0.687949
sphincsshake128fsimple,1392.862543,0.537679
sphincssha2256ssimple,1281.714614,0.649487
sphincssha2256fsimple,894.114871,0.479651
sphincssha2192ssimple,1344.645743,0.7955180000000001
sphincssha2192fsimple,873.9485569999999,0.536493
sphincssha2128ssimple,772.117414,0.475337
sphincssha2128fsimple,517.0661279999999,0.405115
mldsa87,990.384414,0.42521200000000003
mldsa65,990.3300280000001,0.575889
mldsa44,989.7388860000001,0.44245
falcon512,997.514515,1.045423
falcon1024,1014.412914,3.049767
RSA,387.257043,58.098395
EC,182.301871,0.25395799999999996
