algorithm,value,std
sphincsshake256ssimple,57.727828,0.092512
sphincsshake256fsimple,5.6114429999999995,0.052366
sphincsshake192ssimple,87.32915700000001,0.092388
sphincsshake192fsimple,3.4533430000000003,0.054085
sphincsshake128ssimple,60.232114,0.074649
sphincsshake128fsimple,3.032972,0.057615000000000006
sphincssha2256ssimple,32.951271999999996,0.077852
sphincssha2256fsimple,4.344958,0.052381
sphincssha2192ssimple,48.364314,0.07009800000000001
sphincssha2192fsimple,3.152343,0.061016
sphincssha2128ssimple,33.501714,0.069317
sphincssha2128fsimple,2.8376,0.055232
mldsa87,2.3801,0.059115
mldsa65,2.361742,0.064762
mldsa44,2.320443,0.059196
falcon512,10.459372,0.953855
falcon1024,27.209899999999998,2.31622
RSA,206.077429,66.005139
EC,2.157543,0.055484
