algorithm,value,std
sphincsshake256ssimple,662.0596720000001,0.905656
sphincsshake256fsimple,72.169243,0.112447
sphincsshake192ssimple,765.033086,0.70812
sphincsshake192fsimple,36.979828,0.083286
sphincsshake128ssimple,442.87384299999997,0.374871
sphincsshake128fsimple,23.797085,0.082146
sphincssha2256ssimple,402.693057,0.403583
sphincssha2256fsimple,42.912800000000004,0.087175
sphincssha2192ssimple,448.622557,0.337219
sphincssha2192fsimple,21.930028,0.085692
sphincssha2128ssimple,239.03252899999998,0.224162
sphincssha2128fsimple,13.499743,0.07065099999999999
mldsa87,2.4578569999999997,0.08647
mldsa65,2.351743,0.080312
mldsa44,2.342743,0.08219599999999999
falcon512,2.507286,0.080171
falcon1024,2.858143,0.07041900000000001
RSA,2.684857,0.072444
EC,1.475157,0.074957
