algorithm,value,std
sphincsshake256ssimple,2.429571,0.070897
sphincsshake256fsimple,3.396143,0.077626
sphincsshake192ssimple,2.057743,0.06966599999999999
sphincsshake192fsimple,3.354957,0.0812
sphincsshake128ssimple,1.7660289999999998,0.06777499999999999
sphincsshake128fsimple,2.7469859999999997,0.075793
sphincssha2256ssimple,2.7853,0.074094
sphincssha2256fsimple,3.340329,0.085365
sphincssha2192ssimple,2.510243,0.080977
sphincssha2192fsimple,3.3133429999999997,0.080396
sphincssha2128ssimple,2.106529,0.08977700000000001
sphincssha2128fsimple,2.6628279999999998,0.074324
mldsa87,1.3927720000000001,0.07869
mldsa65,1.3856719999999998,0.063653
mldsa44,1.385743,0.078913
falcon512,1.4168,0.075445
falcon1024,1.471543,0.081582
RSA,0.6493859999999999,0.069693
EC,0.726129,0.074043
