algorithm,value,std
sphincsshake256ssimple,726.143914,0.40930900000000003
sphincsshake256fsimple,86.127543,0.086749
sphincsshake192ssimple,858.872557,0.603191
sphincsshake192fsimple,48.788671,0.059567
sphincsshake128ssimple,509.600529,0.457019
sphincsshake128fsimple,34.546186,0.056984999999999994
sphincssha2256ssimple,442.12057100000004,0.379302
sphincssha2256fsimple,54.386629,0.076059
sphincssha2192ssimple,503.2713,0.341081
sphincssha2192fsimple,32.181957,0.051154
sphincssha2128ssimple,278.4253,0.195707
sphincssha2128fsimple,22.986029000000002,0.048527
mldsa87,10.908299999999999,0.074194
mldsa65,10.774113999999999,0.055130000000000005
mldsa44,10.708129,0.044969999999999996
falcon512,19.602157,1.133019
falcon1024,35.751057,1.7403060000000001
RSA,218.278957,70.626285
EC,9.095414,0.039307999999999996
