algorithm,value,std
sphincsshake256ssimple,685.924629,0.904107
sphincsshake256fsimple,96.0499,0.101859
sphincsshake192ssimple,788.935129,0.706546
sphincsshake192fsimple,60.886557,0.068742
sphincsshake128ssimple,466.79922899999997,0.372043
sphincsshake128fsimple,47.750414,0.063507
sphincssha2256ssimple,426.6147,0.400068
sphincssha2256fsimple,66.84058599999999,0.068704
sphincssha2192ssimple,472.5406,0.334641
sphincssha2192fsimple,45.845656999999996,0.066854
sphincssha2128ssimple,262.975443,0.219712
sphincssha2128fsimple,37.4341,0.050051
mldsa87,26.538857,0.07001299999999999
mldsa65,26.447943000000002,0.060090000000000005
mldsa44,26.407829,0.067852
falcon512,26.589143,0.059063
falcon1024,26.924086,0.055929
RSA,26.474142999999998,0.054542
EC,25.311743,0.055216999999999995
