algorithm,value,std
sphincsshake256ssimple,571.9724859999999,0.329788
sphincsshake256fsimple,573.232671,0.35384499999999997
sphincsshake192ssimple,571.657643,0.24956899999999999
sphincsshake192fsimple,573.3464710000001,0.281219
sphincsshake128ssimple,570.9787,0.28582599999999997
sphincsshake128fsimple,571.965529,0.340652
sphincssha2256ssimple,400.101,0.394212
sphincssha2256fsimple,400.790414,0.27886700000000003
sphincssha2192ssimple,400.241129,0.31351
sphincssha2192fsimple,401.21882899999997,0.318948
sphincssha2128ssimple,283.795443,0.318312
sphincssha2128fsimple,284.165143,0.292853
mldsa87,570.646629,0.321029
mldsa65,570.8544290000001,0.325446
mldsa44,570.7884290000001,0.323672
falcon512,570.612114,0.33253299999999997
falcon1024,570.308857,0.380525
RSA,165.62158599999998,0.197578
EC,165.651886,0.209784
