algorithm,value,std
sphincsshake256ssimple,8.643730286,0.002528106
sphincsshake256fsimple,8.643320686,0.002008179
sphincsshake192ssimple,8.641448229,0.026249636
sphincsshake192fsimple,8.643145143,0.002007314
sphincsshake128ssimple,8.642852571,0.003645038
sphincsshake128fsimple,8.629218743,0.045299192
sphincssha2256ssimple,8.643496229,0.00173238
sphincssha2256fsimple,8.640453486,0.007819735
sphincssha2192ssimple,8.643145143,0.00144365
sphincssha2192fsimple,8.642501486,0.001634367
sphincssha2128ssimple,8.642442971,0.003037389
sphincssha2128fsimple,8.644666514,0.005739607
mldsa87,8.642618514,0.002832033
mldsa65,8.6421504,0.003954038
mldsa44,8.6441984,0.006135089
falcon512,8.642735543,0.003652654
falcon1024,8.638639543,0.013128622
RSA,8.639224686,0.024677625
EC,8.6433792,0.002270405
