algorithm,value,std
sphincsshake256ssimple,8.3951616,0.023600923
sphincsshake256fsimple,8.399608686,0.027102973
sphincsshake192ssimple,8.391124114,0.021451772
sphincsshake192fsimple,8.388373943,0.018710361
sphincsshake128ssimple,8.3910656,0.021006311
sphincsshake128fsimple,8.3914752,0.021270298
sphincssha2256ssimple,8.388608,0.019084962
sphincssha2256fsimple,8.388725029,0.019084598
sphincssha2192ssimple,8.396624457,0.025340141
sphincssha2192fsimple,8.391241143,0.021300978
sphincssha2128ssimple,8.388081371,0.017900585
sphincssha2128fsimple,8.398848,0.026395847
mldsa87,8.389778286,0.019811876
mldsa65,8.392528457,0.022590629
mldsa44,8.395220114,0.024598674
falcon512,8.390597486,0.020459128
falcon1024,8.396214857,0.024568932
RSA,8.390129371,0.020770845
EC,8.397794743,0.025796608
