algorithm,value,std
sphincsshake256ssimple,9.679082057,0.005617265
sphincsshake256fsimple,9.680661943,0.008240407
sphincsshake192ssimple,9.679316114,0.006180217
sphincsshake192fsimple,9.6792576,0.005964274
sphincsshake128ssimple,9.679550171,0.005620974
sphincsshake128fsimple,9.678906514,0.005600234
sphincssha2256ssimple,9.680954514,0.008618484
sphincssha2256fsimple,9.679608686,0.005591544
sphincssha2192ssimple,9.680778971,0.003865192
sphincssha2192fsimple,9.679140571,0.005460803
sphincssha2128ssimple,9.6821248,0.011989543
sphincssha2128fsimple,9.683646171,0.01382391
mldsa87,9.713195886,0.009206408
mldsa65,9.700088686,0.005138327
mldsa44,9.695875657,0.005154526
falcon512,9.688444343,0.006193692
falcon1024,9.696402286,0.004788046
RSA,9.678789486,0.0085263
EC,9.681188571,0.006525768
