algorithm,value,std
sphincsshake256ssimple,1.698260115,0.024600369
sphincsshake256fsimple,1.675322515,0.033684675
sphincsshake192ssimple,1.693871543,0.02164577
sphincsshake192fsimple,1.650805029,0.035297668
sphincsshake128ssimple,1.692233142,0.01574594
sphincsshake128fsimple,1.647996343,0.030778544
sphincssha2256ssimple,1.987671772,0.026450009
sphincssha2256fsimple,2.040510172,0.020424803
sphincssha2192ssimple,1.957829485,0.024914647
sphincssha2192fsimple,2.0103168,0.025231825
sphincssha2128ssimple,1.691296914,0.025773235
sphincssha2128fsimple,1.738400915,0.030873478
mldsa87,2.112541257,0.037557157
mldsa65,2.093992229,0.024535119
mldsa44,2.087146057,0.02141028
falcon512,2.238815085,0.035810531
falcon1024,2.263391086,0.022620439
RSA,0.971863771,0.017775961
EC,1.260514743,0.076451018
