algorithm,value,std
sphincsshake256ssimple,0.832365714,0.047141059
sphincsshake256fsimple,0.837514971,0.053810698
sphincsshake192ssimple,0.820077715,0.045081704
sphincsshake192fsimple,0.831663543,0.049504121
sphincsshake128ssimple,0.815806172,0.041184116
sphincsshake128fsimple,0.807087543,0.038051119
sphincssha2256ssimple,1.036405029,0.027862825
sphincssha2256fsimple,1.055656228,0.021550641
sphincssha2192ssimple,1.039038172,0.017558907
sphincssha2192fsimple,1.045065143,0.014089464
sphincssha2128ssimple,0.703575771,0.076168209
sphincssha2128fsimple,0.701586286,0.076067541
mldsa87,1.2939264,0.031399587
mldsa65,1.079647085,0.044288351
mldsa44,1.074146743,0.04370014
falcon512,1.310076343,0.008798177
falcon1024,1.321837714,0.027947469
RSA,0.256351085,0.027894534
EC,0.258633143,0.008272171
