algorithm,value,std
sphincsshake256ssimple,200.758593829,0.056015771
sphincsshake256fsimple,200.759588572,0.05258475
sphincsshake192ssimple,200.7887872,0.031791192
sphincsshake192fsimple,200.778605715,0.043903471
sphincsshake128ssimple,200.777259886,0.042796218
sphincsshake128fsimple,200.758301257,0.059895717
sphincssha2256ssimple,200.831736685,0.045624261
sphincssha2256fsimple,200.835832686,0.062437528
sphincssha2192ssimple,200.825007543,0.044147381
sphincssha2192fsimple,200.815469714,0.028470367
sphincssha2128ssimple,200.570119314,0.047651761
sphincssha2128fsimple,200.551394743,0.037661937
mldsa87,201.0779648,0.037260208
mldsa65,201.074863543,0.034670155
mldsa44,201.074805029,0.026043185
falcon512,201.290488686,0.056436727
falcon1024,201.2991488,0.054278342
RSA,0.038912,0.057266929
EC,0.031188114,0.040851351
