algorithm,value,std
sphincsshake256ssimple,9.9815424,0.013809454
sphincsshake256fsimple,10.021039543,0.028834242
sphincsshake192ssimple,9.9627008,0.004948233
sphincsshake192fsimple,9.9946496,0.018386102
sphincsshake128ssimple,9.951934171,0.006714914
sphincsshake128fsimple,9.970190629,0.01848859
sphincssha2256ssimple,10.224552229,0.035449577
sphincssha2256fsimple,10.250591086,0.041323424
sphincssha2192ssimple,10.217706057,0.012964617
sphincssha2192fsimple,10.2432768,0.01920688
sphincssha2128ssimple,9.780194743,0.0958283
sphincssha2128fsimple,9.7898496,0.100200512
mldsa87,10.246846171,0.016688685
mldsa65,10.233797486,0.015836785
mldsa44,10.225605486,0.012720517
falcon512,10.477919086,0.015210257
falcon1024,10.481429943,0.00570318
RSA,9.679082057,0.008594267
EC,9.681832229,0.009457287
