algorithm,value,std
sphincsshake256ssimple,9.090707,0.134721
sphincsshake256fsimple,9.03743,0.110139
sphincsshake192ssimple,9.006422,0.09903
sphincsshake192fsimple,9.071145,0.11615299999999999
sphincsshake128ssimple,9.10334,0.107914
sphincsshake128fsimple,9.100716,0.112279
sphincssha2256ssimple,9.038299,0.103583
sphincssha2256fsimple,9.052902,0.096551
sphincssha2192ssimple,9.036882,0.09912900000000001
sphincssha2192fsimple,9.063746,0.11553999999999999
sphincssha2128ssimple,9.048185,0.101532
sphincssha2128fsimple,9.043203,0.092978
mldsa87,9.059965,0.09535300000000001
mldsa65,9.069039,0.094525
mldsa44,9.105287,0.086162
falcon512,9.063893,0.099273
falcon1024,9.180005999999999,0.11113899999999999
RSA,9.089202,0.11277000000000001
EC,9.103442999999999,0.095091
