algorithm,value,std
sphincsshake256ssimple,8.89386,0.097417
sphincsshake256fsimple,8.9151,0.111321
sphincsshake192ssimple,8.903544,0.100191
sphincsshake192fsimple,8.989046,0.099845
sphincsshake128ssimple,8.954809,0.10265200000000001
sphincsshake128fsimple,8.971724,0.11451800000000001
sphincssha2256ssimple,8.930990999999999,0.099594
sphincssha2256fsimple,8.899137,0.090382
sphincssha2192ssimple,8.918890000000001,0.09629700000000001
sphincssha2192fsimple,8.887535999999999,0.07962999999999999
sphincssha2128ssimple,8.972175,0.093611
sphincssha2128fsimple,8.904473,0.09794800000000001
mldsa87,8.932426,0.087898
mldsa65,8.893611,0.08669
mldsa44,8.951944999999998,0.095219
falcon512,8.905757,0.106919
falcon1024,8.938626,0.100295
RSA,8.981233999999999,0.092131
EC,8.920811,0.10483200000000001
