algorithm,value,std
sphincsshake256ssimple,27.372801,0.15052300000000002
sphincsshake256fsimple,27.361469999999997,0.14736600000000002
sphincsshake192ssimple,27.448385,0.16695
sphincsshake192fsimple,27.416756,0.15584
sphincsshake128ssimple,27.491992,0.180404
sphincsshake128fsimple,27.517922,0.157587
sphincssha2256ssimple,27.477854,0.144469
sphincssha2256fsimple,27.480438,0.1675
sphincssha2192ssimple,27.444072,0.171666
sphincssha2192fsimple,27.435589999999998,0.131665
sphincssha2128ssimple,27.491765,0.17304899999999998
sphincssha2128fsimple,27.467998,0.166801
mldsa87,27.633551999999998,0.126709
mldsa65,27.680179,0.176161
mldsa44,27.651588,0.168269
falcon512,27.703595,0.192741
falcon1024,27.583602,0.14058
RSA,27.311972,0.157298
EC,27.269083,0.145664
