algorithm,value,std
sphincsshake256ssimple,2084.803056,0.6087119999999999
sphincsshake256fsimple,1445.118422,0.470533
sphincsshake192ssimple,2216.74822,0.965331
sphincsshake192fsimple,1406.973492,0.504993
sphincsshake128ssimple,1868.92229,0.736185
sphincsshake128fsimple,1394.100617,0.562809
sphincssha2256ssimple,1282.71955,0.652456
sphincssha2256fsimple,895.094932,0.548844
sphincssha2192ssimple,1345.6888099999999,0.818456
sphincssha2192fsimple,874.804523,0.553218
sphincssha2128ssimple,772.918623,0.457114
sphincssha2128fsimple,517.6460189999999,0.43255000000000005
mldsa87,991.4217709999999,0.46134600000000003
mldsa65,991.321138,0.667819
mldsa44,990.715332,0.48742
falcon512,998.623286,1.083839
falcon1024,1015.5743180000001,3.0776459999999997
RSA,388.01901100000003,58.11416
EC,182.85607000000002,0.309516
