algorithm,value,std
sphincsshake256ssimple,58.114871,0.19320099999999998
sphincsshake256fsimple,5.833527,0.174873
sphincsshake192ssimple,87.676457,0.169382
sphincsshake192fsimple,3.596281,0.141686
sphincsshake128ssimple,60.569577,0.173038
sphincsshake128fsimple,3.1980250000000003,0.156892
sphincssha2256ssimple,33.258725000000005,0.156863
sphincssha2256fsimple,4.526062,0.15021500000000002
sphincssha2192ssimple,48.662784,0.140148
sphincssha2192fsimple,3.436613,0.147099
sphincssha2128ssimple,33.760373,0.16090000000000002
sphincssha2128fsimple,3.006591,0.155468
mldsa87,2.614833,0.14681000000000002
mldsa65,2.670986,0.151378
mldsa44,2.5651469999999996,0.149769
falcon512,10.828045,0.9881930000000001
falcon1024,27.689942,2.293531
RSA,206.43683700000003,65.95629799999999
EC,2.3602499999999997,0.14677
