algorithm,value,std
sphincsshake256ssimple,661.826991,0.6522159999999999
sphincsshake256fsimple,71.59420399999999,0.308594
sphincsshake192ssimple,764.612788,0.664461
sphincsshake192fsimple,36.451839,0.227078
sphincsshake128ssimple,442.351741,0.449897
sphincsshake128fsimple,23.400596999999998,0.27513
sphincssha2256ssimple,402.324094,0.398085
sphincssha2256fsimple,42.723419,0.306248
sphincssha2192ssimple,448.50606799999997,0.36401
sphincssha2192fsimple,21.616254,0.230716
sphincssha2128ssimple,238.784788,0.311836
sphincssha2128fsimple,13.524312,0.238829
mldsa87,2.222862,0.232795
mldsa65,2.088486,0.26989599999999997
mldsa44,2.13543,0.22601300000000002
falcon512,2.373777,0.260606
falcon1024,2.7793750000000004,0.19256399999999999
RSA,2.634516,0.22569899999999998
EC,1.4887819999999998,0.238646
