algorithm,value,std
sphincsshake256ssimple,496.95968899999997,0.482854
sphincsshake256fsimple,498.023122,0.472978
sphincsshake192ssimple,496.56389,0.32624800000000004
sphincsshake192fsimple,498.145312,0.402341
sphincsshake128ssimple,496.03356199999996,0.45268
sphincsshake128fsimple,496.98512,0.464743
sphincssha2256ssimple,324.87636,0.500018
sphincssha2256fsimple,325.503311,0.379937
sphincssha2192ssimple,325.272287,0.411505
sphincssha2192fsimple,326.06108900000004,0.455517
sphincssha2128ssimple,208.553907,0.453911
sphincssha2128fsimple,208.889297,0.395812
mldsa87,495.749464,0.47120700000000004
mldsa65,496.190062,0.436768
mldsa44,495.67818400000004,0.424875
falcon512,495.546659,0.425694
falcon1024,495.16407499999997,0.435805
RSA,90.435713,0.289814
EC,90.412777,0.321388
