algorithm,value,std
sphincsshake256ssimple,2145.62132,0.5612860000000001
sphincsshake256fsimple,1505.9677259999999,0.430482
sphincsshake192ssimple,2277.509733,0.938306
sphincsshake192fsimple,1467.87876,0.462231
sphincsshake128ssimple,1929.857557,0.709793
sphincsshake128fsimple,1454.92681,0.532086
sphincssha2256ssimple,1343.561279,0.6253650000000001
sphincssha2256fsimple,956.038017,0.493474
sphincssha2192ssimple,1406.622179,0.8021480000000001
sphincssha2192fsimple,935.7243159999999,0.522056
sphincssha2128ssimple,833.696269,0.433335
sphincssha2128fsimple,578.4554979999999,0.385881
mldsa87,1052.2546690000001,0.42488200000000004
mldsa65,1052.415427,0.6312880000000001
mldsa44,1051.8171,0.444835
falcon512,1059.603917,1.069557
falcon1024,1076.5769220000002,3.072711
RSA,448.962754,58.113782
EC,243.905862,0.23415799999999998
