algorithm,value,std
sphincsshake256ssimple,689.411778,0.555069
sphincsshake256fsimple,100.010028,0.203262
sphincsshake192ssimple,793.075336,0.75927
sphincsshake192fsimple,64.88380000000001,0.218845
sphincsshake128ssimple,470.819886,0.40484000000000003
sphincsshake128fsimple,51.612494000000005,0.21113800000000002
sphincssha2256ssimple,430.616181,0.493077
sphincssha2256fsimple,70.660895,0.17516400000000001
sphincssha2192ssimple,476.470152,0.39770300000000003
sphincssha2192fsimple,49.72458099999999,0.16880599999999998
sphincssha2128ssimple,266.919469,0.27057
sphincssha2128fsimple,41.246336,0.15220899999999998
mldsa87,30.406738,0.231626
mldsa65,30.31081,0.191172
mldsa44,30.260016,0.156457
falcon512,30.440604999999998,0.14411
falcon1024,30.850969999999997,0.166881
RSA,30.140453,0.157328
EC,28.905953,0.196775
