algorithm,value,std
sphincsshake256ssimple,576.180468,0.420045
sphincsshake256fsimple,577.404343,0.401933
sphincsshake192ssimple,575.7642400000001,0.278447
sphincsshake192fsimple,577.4888139999999,0.34412899999999996
sphincsshake128ssimple,575.127273,0.368499
sphincsshake128fsimple,576.167608,0.407118
sphincssha2256ssimple,404.183187,0.448138
sphincssha2256fsimple,404.950087,0.30867900000000004
sphincssha2192ssimple,404.37670799999995,0.336803
sphincssha2192fsimple,405.35082,0.38462199999999996
sphincssha2128ssimple,287.696807,0.376604
sphincssha2128fsimple,288.145659,0.334316
mldsa87,575.089513,0.387297
mldsa65,575.3107950000001,0.382113
mldsa44,575.10852,0.35834099999999997
falcon512,574.900034,0.37649
falcon1024,574.601672,0.371985
RSA,169.476715,0.20886
EC,169.505459,0.24514399999999997
