algorithm,operation,size,reps,trim_pct,trim_wall_s_raw,std_wall_s_raw,trim_cpu_s_raw,std_cpu_s_raw,trim_wall_s_base,std_wall_s_base,trim_cpu_s_base,std_cpu_s_base,net_wall_s,std_net_wall_s,net_cpu_s,std_net_cpu_s,trim_mem_mb_raw,std_mem_mb_raw,trim_mem_mb_base,std_mem_mb_base,net_mem_mb,std_net_mem_mb
sphincsshake256ssimple,keygen,-,100,15,0.652486827,0.000986383,0.634536800,0.000318091,0.053663100,0.000572948,0.037513800,0.000261643,0.598823727,0.001140711,0.597023000,0.000411872,9.475159771,0.007794152,8.169179429,0.008413728,1.305980342,0.011469073
sphincsshake256ssimple,sign,256,100,15,7.160531070,0.005179338,7.139575471,0.005149116,0.201011902,0.000836058,0.182773300,0.000361976,6.959519168,0.005246383,6.956802171,0.005161824,9.694997943,0.070169029,9.479548343,0.006034619,0.215449600,0.070428043
sphincsshake256ssimple,sign,100000,100,15,7.164096525,0.005131784,7.143335557,0.005116172,0.201109618,0.000670385,0.183082471,0.000259637,6.962986907,0.005175386,6.960253086,0.005122756,10.033444571,0.020036771,9.496166400,0.032096257,0.537278171,0.037837044
sphincsshake256ssimple,sign,100000000,100,15,10.112017852,0.005770916,10.088496529,0.005247871,0.428920317,0.001111956,0.410288229,0.000616548,9.683097535,0.005877067,9.678208300,0.005283965,310.273404343,0.079350529,109.628386743,0.020001722,200.645017600,0.081832606
sphincsshake256ssimple,verify,256,100,15,0.216291042,0.000606646,0.198192343,0.000398442,0.201826810,0.000540051,0.183971500,0.000216012,0.014464232,0.000812203,0.014220843,0.000453230,9.530806857,0.031874936,9.518986971,0.008511417,0.011819886,0.032991753
sphincsshake256ssimple,verify,100000,100,15,0.218395976,0.000526406,0.200365057,0.000213690,0.202269224,0.000591548,0.184332700,0.000269318,0.016126752,0.000791854,0.016032357,0.000343796,9.837129143,0.087688834,9.532913371,0.030406122,0.304215772,0.092810904
sphincsshake256ssimple,verify,100000000,100,15,2.110705236,0.002076077,2.090589014,0.001702554,0.431979089,0.000937922,0.413761500,0.000692589,1.678726147,0.002278112,1.676827514,0.001838034,310.213778286,0.035978717,109.675724800,0.034624993,200.538053486,0.049933538
sphincsshake256ssimple,all,256,100,15,7.625499747,0.001810297,7.604774429,0.001183889,0.054329067,0.000762848,0.037671057,0.000196741,7.571170680,0.001964462,7.567103372,0.001200125,9.631041829,0.075351563,8.180355657,0.023726646,1.450686172,0.078998809
sphincsshake256ssimple,all,100000,100,15,7.625714612,0.005203772,7.605001900,0.005392686,0.054451181,0.000633595,0.038073429,0.000307406,7.571263431,0.005242202,7.566928471,0.005401441,9.933151086,0.016527957,8.424769829,0.012493485,1.508381257,0.020718603
sphincsshake256ssimple,all,100000000,100,15,12.239687684,0.005155520,12.215806986,0.004980438,0.284209411,0.000997481,0.267025300,0.000605302,11.955478273,0.005251129,11.948781686,0.005017086,310.277383314,0.010542274,108.515796114,0.069495833,201.761587200,0.070290898
sphincsshake256fsimple,keygen,-,100,15,0.107230700,0.000836170,0.089300557,0.000295410,0.054045400,0.000607331,0.037683000,0.000197910,0.053185300,0.001033456,0.051617557,0.000355578,9.469952000,0.022030060,8.174972343,0.018642011,1.294979657,0.028859108
sphincsshake256fsimple,sign,256,100,15,0.946843889,0.000753662,0.928119457,0.000336754,0.201163097,0.000753381,0.183073614,0.000387384,0.745680792,0.001065640,0.745045843,0.000513293,9.748597029,0.011563630,9.481830400,0.011269260,0.266766629,0.016146633
sphincsshake256fsimple,sign,100000,100,15,0.950185584,0.000977808,0.931324486,0.000542956,0.201670045,0.000770146,0.183501214,0.000384199,0.748515539,0.001244682,0.747823272,0.000665139,10.024316343,0.027919117,9.493299200,0.031173544,0.531017143,0.041848141
sphincsshake256fsimple,sign,100000000,100,15,3.901962199,0.002313763,3.880436800,0.002051216,0.430894507,0.001037674,0.412474114,0.000644767,3.471067692,0.002535797,3.467962686,0.002150165,310.237593600,0.086489314,109.629322971,0.023086071,200.608270629,0.089517418
sphincsshake256fsimple,verify,256,100,15,0.227961308,0.000518261,0.209668629,0.000339164,0.203172234,0.000675898,0.185290900,0.000251375,0.024789074,0.000851723,0.024377729,0.000422163,9.747485257,0.075202057,9.551228343,0.017553763,0.196256914,0.077223597
