algorithm,value,std
sphincsshake256ssimple,37.671057,0.196741
sphincsshake256fsimple,37.759186,0.177923
sphincsshake192ssimple,37.958686,0.344707
sphincsshake192fsimple,37.756957,0.25525
sphincsshake128ssimple,37.876429,0.270909
sphincsshake128fsimple,37.812829,0.207697
sphincssha2256ssimple,37.929957,0.30695
sphincssha2256fsimple,37.850086,0.292836
sphincssha2192ssimple,37.855486,0.216534
sphincssha2192fsimple,37.894856999999995,0.270995
sphincssha2128ssimple,37.867329,0.276422
sphincssha2128fsimple,37.783829,0.18559699999999998
mldsa87,37.859271,0.193457
mldsa65,37.928656999999994,0.279389
mldsa44,37.937914000000006,0.201626
falcon512,37.917728999999994,0.267541
falcon1024,38.139542999999996,0.354944
RSA,38.099829,0.334024
EC,38.090114,0.353077
