algorithm,value,std
sphincsshake256ssimple,37.5138,0.261643
sphincsshake256fsimple,37.683,0.19791
sphincsshake192ssimple,37.683257,0.174284
sphincsshake192fsimple,37.769229,0.286265
sphincsshake128ssimple,37.737857,0.22476500000000002
sphincsshake128fsimple,37.782614,0.299607
sphincssha2256ssimple,37.740743,0.230549
sphincssha2256fsimple,37.779043,0.254745
sphincssha2192ssimple,37.755843,0.253755
sphincssha2192fsimple,37.7344,0.192119
sphincssha2128ssimple,37.930214,0.316896
sphincssha2128fsimple,37.964,0.368363
mldsa87,37.813742999999995,0.36339899999999997
mldsa65,37.735029000000004,0.280473
mldsa44,37.841729,0.39153099999999996
falcon512,37.667100000000005,0.20796399999999998
falcon1024,37.992871,0.420167
RSA,37.823299999999996,0.367513
EC,37.691757,0.283022
