algorithm,value,std
sphincsshake256ssimple,184.3327,0.269318
sphincsshake256fsimple,185.53847100000002,0.31504299999999996
sphincsshake192ssimple,185.181529,0.448254
sphincsshake192fsimple,185.875971,0.357759
sphincsshake128ssimple,184.70781399999998,0.37070400000000003
sphincsshake128fsimple,185.235057,0.415092
sphincssha2256ssimple,184.86738599999998,0.30700999999999995
sphincssha2256fsimple,185.888314,0.383441
sphincssha2192ssimple,185.373614,0.437364
sphincssha2192fsimple,186.168229,0.39827599999999996
sphincssha2128ssimple,184.99432900000002,0.382729
sphincssha2128fsimple,185.483643,0.388739
mldsa87,185.06298600000002,0.33083199999999996
mldsa65,184.9411,0.35244200000000003
mldsa44,185.443314,0.346732
falcon512,184.40508599999998,0.34415
falcon1024,185.416414,0.375429
RSA,182.123343,0.281355
EC,182.72945700000002,0.33942100000000003
