algorithm,value,std
sphincsshake256ssimple,7567.1033720000005,1.200125
sphincsshake256fsimple,815.1121850000001,0.42812900000000004
sphincsshake192ssimple,8781.664828,13.237957
sphincsshake192fsimple,413.61534300000005,0.563964
sphincsshake128ssimple,5159.0302,1.265312
sphincsshake128fsimple,267.189614,0.370624
sphincssha2256ssimple,11024.783757,15.643998
sphincssha2256fsimple,1150.402243,2.012999
sphincssha2192ssimple,12682.607128000001,5.169904000000001
sphincssha2192fsimple,580.2872,0.65815
sphincssha2128ssimple,7475.500257000001,5.585577000000001
sphincssha2128fsimple,370.889385,0.5103660000000001
mldsa87,32.189229,2.042962
mldsa65,29.606213999999998,1.3332000000000002
mldsa44,27.303472,0.735588
falcon512,62.440942,6.049815
falcon1024,127.163371,11.174108
RSA,2003.616728,648.525143
EC,19.905729,0.513812
