algorithm,value,std
sphincsshake256ssimple,9678.2083,5.283965
sphincsshake256fsimple,3467.962686,2.150165
sphincsshake192ssimple,10608.541243,13.33268
sphincsshake192fsimple,3089.272486,1.97484
sphincsshake128ssimple,7268.2020999999995,2.849884
sphincsshake128fsimple,2953.738671,2.044082
sphincssha2256ssimple,12189.629728,4.349044
sphincssha2256fsimple,3082.5497,1.9854999999999998
sphincssha2192ssimple,13447.244886,4.419714
sphincssha2192fsimple,2544.581186,2.326715
sphincssha2128ssimple,9383.709857,3.4358370000000003
sphincssha2128fsimple,3109.3226999999997,2.327629
mldsa87,1679.6496,2.367736
mldsa65,1679.632357,2.463158
mldsa44,1678.406657,2.27239
falcon512,1677.976871,2.048306
falcon1024,1678.732728,1.56442
RSA,1110.924215,0.9316
EC,1100.545828,0.791386
