algorithm,value,std
sphincsshake256ssimple,16.032357,0.343796
sphincsshake256fsimple,25.498586,0.40043799999999996
sphincsshake192ssimple,13.104899999999999,0.5633250000000001
sphincsshake192fsimple,25.453043,0.535744
sphincsshake128ssimple,10.941115,0.557772
sphincsshake128fsimple,19.278,0.622935
sphincssha2256ssimple,26.026243,0.45457400000000003
sphincssha2256fsimple,39.778457,0.533715
sphincssha2192ssimple,21.410115,0.576379
sphincssha2192fsimple,39.020142,0.522984
sphincssha2128ssimple,19.551242,0.570268
sphincssha2128fsimple,31.9348,0.603536
mldsa87,8.105571000000001,0.49972000000000005
mldsa65,7.4993289999999995,0.483418
mldsa44,7.0197,0.48720399999999997
falcon512,6.792928,0.503955
falcon1024,7.243815,0.589919
RSA,4.628870999999999,0.399269
EC,5.262913999999999,0.565913
