algorithm,value,std
sphincsshake256ssimple,7605.0019,5.392685999999999
sphincsshake256fsimple,857.011843,0.45985
sphincsshake192ssimple,8826.505786,13.074262999999998
sphincsshake192fsimple,455.776957,0.445293
sphincsshake128ssimple,5188.0408,9.543643
sphincsshake128fsimple,308.878486,0.37719400000000003
sphincssha2256ssimple,11055.785543,2.474624
sphincssha2256fsimple,1190.733829,0.664194
sphincssha2192ssimple,12722.4952,4.247465
sphincssha2192fsimple,621.0389429999999,0.501892
sphincssha2128ssimple,7526.607714,3.151017
sphincssha2128fsimple,413.696186,0.6391199999999999
mldsa87,72.705871,1.648516
mldsa65,71.41961400000001,1.15052
mldsa44,69.152643,0.8431460000000001
falcon512,102.930629,5.809023
falcon1024,165.856414,10.613521
RSA,1948.3810429999999,683.631259
EC,60.506386,0.332903
