algorithm,value,std
sphincsshake256ssimple,634.5368,0.318091
sphincsshake256fsimple,89.300557,0.29541
sphincsshake192ssimple,927.888271,0.311267
sphincsshake192fsimple,66.606286,0.305452
sphincsshake128ssimple,648.383629,1.088252
sphincsshake128fsimple,62.311129,0.345334
sphincssha2256ssimple,885.955486,0.595664
sphincssha2256fsimple,105.723386,0.327331
sphincssha2192ssimple,1303.1911140000002,0.547837
sphincssha2192fsimple,73.64802900000001,0.17844000000000002
sphincssha2128ssimple,919.492886,1.247953
sphincssha2128fsimple,67.7933,0.372016
mldsa87,54.340042999999994,0.412881
mldsa65,53.6736,0.350375
mldsa44,53.341543,0.405664
falcon512,90.1503,6.149894000000001
falcon1024,150.360929,11.256235
RSA,2164.749914,723.88902
EC,53.130929,0.36232000000000003
