algorithm,value,std
sphincsshake256ssimple,200.365057,0.21369
sphincsshake256fsimple,211.037057,0.247181
sphincsshake192ssimple,198.286429,0.34118
sphincsshake192fsimple,211.329014,0.398786
sphincsshake128ssimple,195.648929,0.416759
sphincsshake128fsimple,204.513057,0.464486
sphincssha2256ssimple,210.893629,0.335235
sphincssha2256fsimple,225.66677099999998,0.371248
sphincssha2192ssimple,206.783729,0.375401
sphincssha2192fsimple,225.188371,0.33895200000000003
sphincssha2128ssimple,204.545571,0.422758
sphincssha2128fsimple,217.418443,0.46166799999999997
mldsa87,193.168557,0.374527
mldsa65,192.440429,0.330874
mldsa44,192.463014,0.342264
falcon512,191.198014,0.36814600000000003
falcon1024,192.660229,0.45503600000000005
RSA,186.752214,0.283293
EC,187.992371,0.45282599999999995
