algorithm,value,std
sphincsshake256ssimple,108.515796114,0.069495833
sphincsshake256fsimple,108.549090743,0.039432228
sphincsshake192ssimple,108.5366272,0.055366201
sphincsshake192fsimple,108.533057829,0.058309922
sphincsshake128ssimple,108.533233371,0.059700483
sphincsshake128fsimple,108.528493714,0.060419971
sphincssha2256ssimple,108.535749486,0.056792214
sphincssha2256fsimple,108.532238629,0.055253315
sphincssha2192ssimple,108.535925029,0.058805083
sphincssha2192fsimple,108.542478629,0.046236794
sphincssha2128ssimple,108.547159771,0.037670884
sphincssha2128fsimple,108.511466057,0.071053999
mldsa87,108.536919771,0.052444758
mldsa65,108.540430629,0.053199673
mldsa44,108.550495086,0.032978748
falcon512,108.5497344,0.038779146
falcon1024,108.540957257,0.051219281
RSA,108.541893486,0.052402187
EC,108.541191314,0.050289202
